Level	Word	Pinyin1	Pinyin2	Translation
3	换	huàn	huan4	to change (to another one)
3	接	jiē	jie1	connect
3	提高	tí gāo	ti2 gao1	raise
3	搬	bān	ban1	to move
3	放	fàng	fang4	to put; set free
3	放心	fàng xīn	fang4 xin1	relax; feel relieved
3	教	jiāo	jiao1	to teach
3	敢	gǎn	gan3	dare to
3	数学	shù xué	shu4 xue2	maths
3	文化	wén huà	wen2 hua4	culture
3	新闻	xīn wén	xin1 wen2	news
3	新鲜	xīn xiān	xin1 xian1	fresh
3	方便	fāng biàn	fang1 bian4	convenient
3	旧	jiù	jiu4	old; former
3	明白	míng bai	ming2 bai5	to understand
3	春	chūn	chun1	spring
3	普通话	pǔ tōng huà	pu3 tong1 hua4	Standard Chinese [language]
3	月亮	yuè liang	yue4 liang5	moon
3	有名	yǒu míng	you3 ming2	famous
3	机会	jī huì	ji1 hui4	opportunity
3	条	tiáo	tiao2	[measure word for long pieces (hair, branch, trousers etc.)]
3	极	jí	ji2	extreme
3	果汁	guǒ zhī	guo3 zhi1	fruit juice
3	树	shù	shu4	tree
3	校长	xiào zhǎng	xiao4 zhang3	head teacher; principal
3	根据	gēn jù	gen1 ju4	according to
3	检查	jiǎn chá	jian3 cha2	inspect
3	楼	lóu	lou2	multi-storied building
3	段	duàn	duan4	section; paragraph; [measure word for stories, pieces of music, recordings etc.]
3	比赛	bǐ sài	bi3 sai4	competition; match
3	比较	bǐ jiào	bi3 jiao4	compare
3	水平	shuǐ píng	shui3 ping2	level
3	河	hé	he2	river
3	注意	zhù yì	zhu4 yi4	take note of
3	洗手间	xǐ shǒu jiān	xi3 shou3 jian1	toilets; washroom
3	洗澡	xǐ zǎo	xi3 zao3	have a shower; bath
3	清楚	qīng chu	qing1 chu5	clear
3	渴	kě	ke3	thirsty
3	游戏	yóu xì	you2 xi4	game
3	满意	mǎn yì	man3 yi4	pleased; satisfied
3	灯	dēng	deng1	lamp
3	热情	rè qíng	re4 qing2	enthusiastic
3	然后	rán hòu	ran2 hou4	and then; after that
3	照片	zhào piàn	zhao4 pian4	photograph
3	照相机	zhào xiàng jī	zhao4 xiang4 ji1	camera
3	照顾	zhào gu	zhao4 gu5	to look after
3	熊猫	xióng māo	xiong2 mao1	panda
3	爬山	pá shān	pa2 shan1	to climb hills/mountains
3	爱好	ài hào	ai4 hao4	interests; hobbies
3	爷爷	yé ye	ye2 ye5	grandfather [father's father]
3	特别	tè bié	te4 bie2	special; especially
3	环境	huán jìng	huan2 jing4	environment
3	班	bān	ban1	class
3	甜	tián	tian2	sweet
3	生气	shēng qì	sheng1 qi4	to get angry
3	用	yòng	yong4	to use
3	电子邮件	diàn zǐ yóu jiàn	dian4 zi3 you2 jian4	email
3	电梯	diàn tī	dian4 ti1	lift; elevator
3	画	huà	hua4	to draw; paint (pictures)
3	疼	téng	teng2	pain
3	瘦	shòu	shou4	thin
3	盘子	pán zi	pan2 zi5	tray
3	相信	xiāng xìn	xiang1 xin4	to believe
3	相同	xiāng tóng	xiang1 tong2	same
3	看	kàn	kan4	to see; to read; to watch; to look at
3	眼镜	yǎn jìng	yan3 jing4	(eye) glasses
3	着急	zháo jí	zhao2 ji2	anxious
3	短	duǎn	duan3	short
3	矮	ǎi	ai3	short [height]
3	碗	wǎn	wan3	a bowl of
3	礼物	lǐ wù	li3 wu4	gift; present
3	祝	zhù	zhu4	to wish
3	离开	lí kāi	li2 kai1	leave
3	秋	qiū	qiu1	autumn
3	种	zhǒng	zhong3	kind; type
3	空调	kōng tiáo	kong1 tiao2	air-conditioning
3	突然	tū rán	tu1 ran2	suddenly
3	站	zhàn	zhan4	stand
3	筷子	kuài zi	kuai4 zi5	chopsticks
3	简单	jiǎn dān	jian3 dan1	simple
3	米	mǐ	mi3	rice; metre
3	糖	táng	tang2	sugar
3	练习	liàn xí	lian4 xi2	to practise
3	终于	zhōng yú	zhong1 yu2	at last
3	经常	jīng cháng	jing1 chang2	often; regularly
3	经理	jīng lǐ	jing1 li3	manager
3	经过	jīng guò	jing1 guo4	pass through
3	结婚	jié hūn	jie2 hun1	marry
3	结束	jié shù	jie2 shu4	finish
3	绿	lǜ	lv4	green
3	老	lǎo	lao3	old; aged
3	而且	ér qiě	er2 qie3	moreover; furthermore
3	耳朵	ěr duo	er3 duo5	ears
3	聪明	cōng ming	cong1 ming5	clever; intelligent
3	背	bèi	bei4	back
3	胖	pàng	pang4	fat
3	脚	jiǎo	jiao3	foot
3	脸	liǎn	lian3	face
3	腿	tuǐ	tui3	leg
3	自己	zì jǐ	zi4 ji3	self; oneself
3	舒服	shū fu	shu1 fu5	comfortable
3	节日	jié rì	jie2 ri4	festival
3	节目	jié mù	jie2 mu4	programme
3	花	huā	hua1	to spend (time, money); flower
3	花园	huā yuán	hua1 yuan2	garden
3	草	cǎo	cao3	grass
3	菜单	cài dān	cai4 dan1	menu
3	葡萄	pú tao	pu2 tao5	grapes
3	蓝	lán	lan2	blue
3	虽然	suī rán	sui1 ran2	although
3	蛋糕	dàn gāo	dan4 gao1	cake
3	行李箱	xíng li xiāng	xing2 li5 xiang1	trunk [luggage]
3	街道	jiē dào	jie1 dao4	road
3	表演	biǎo yǎn	biao3 yan3	performance
3	表示	biǎo shì	biao3 shi4	express; indicate
3	衬衫	chèn shān	chen4 shan1	shirt
3	裙子	qún zi	qun2 zi5	skirt
3	裤子	kù zi	ku4 zi5	trousers
3	西	xī	xi1	west
3	要求	yāo qiú	yao1 qiu2	requirement
3	见面	jiàn miàn	jian4 mian4	to meet
3	角	jiǎo	jiao3	horn; corner; jiao (written) [unit of currency = 0.1 yuan]
3	解决	jiě jué	jie3 jue2	to resolve; solve
3	认为	rèn wéi	ren4 wei2	to think that; consider
3	认真	rèn zhēn	ren4 zhen1	earnest
3	记得	jì de	ji4 de5	to remember
3	讲	jiǎng	jiang3	speak
3	词语	cí yǔ	ci2 yu3	words and expressions
3	超市	chāo shì	chao1 shi4	supermarket
3	越	yuè ...... yuè ......	yue4 ...... yue4 ......	the more... the more ...
3	跟	gēn	gen1	with
3	辆	liàng	liang4	[measure word for vehicles]
3	过去	guò qu	guo4 qu5	(in the) past
3	近	jìn	jin4	near; close by
3	还是	hái shì	hai2 shi4	...or...? [in a question]
3	迟到	chí dào	chi2 dao4	arrive late
3	选择	xuǎn zé	xuan3 ze2	choice
3	遇到	yù dào	yu4 dao4	to meet
3	邻居	lín jū	lin2 ju1	neighbour
3	重要	zhòng yào	zhong4 yao4	important
3	铅笔	qiān bǐ	qian1 bi3	pencil
3	银行	yín háng	yin2 hang2	bank
3	锻炼	duàn liàn	duan4 lian4	to engage in physical exercise
3	阿姨	ā yí	a1 yi2	auntie [mother's younger sister]
3	附近	fù jìn	fu4 jin4	nearby
3	除了	chú le	chu2 le5	apart from ("chule...yiwai" construction)
3	难	nán	nan2	hard; difficult
3	难过	nán guò	nan2 guo4	have a hard time
3	需要	xū yào	xu1 yao4	need
3	面包	miàn bāo	mian4 bao1	bread
3	面条	miàn tiáo	mian4 tiao2	noodles
3	鞋	xié	xie2	shoe
3	音乐	yīn yuè	yin1 yue4	music
3	饱	bǎo	bao3	full up; eaten to one’s satisfaction
3	饿	è	e4	hungry
3	香蕉	xiāng jiāo	xiang1 jiao1	banana
3	马	mǎ	ma3	horse
3	骑	qí	qi2	to ride (a bicycle, horse)
3	鸟	niǎo	niao3	bird
3	黄	huáng	huang2	yellow
3	黑板	hēi bǎn	hei1 ban3	blackboard
3	鼻子	bí zi	bi2 zi5	nose
4	一切	yī qiè	yi1 qie4	everything
4	不仅	bù jǐn	bu4 jin3	not only [this one]
4	不但	bú dàn	bu2 dan4	not only
4	不得不	bù dé bù	bu4 de2 bu4	to have to
4	不管	bù guǎn	bu4 guan3	regardless of; no matter (what/how)
4	不过	bú guò	bu2 guo4	however
4	专业	zhuān yè	zhuan1 ye4	professional
4	专门	zhuān mén	zhuan1 men2	specialised
4	世纪	shì jì	shi4 ji4	century
4	丢	diū	diu1	lose
4	严格	yán gé	yan2 ge2	strict
4	严重	yán zhòng	yan2 zhong4	serious
4	个子	gè zi	ge4 zi5	height; stature
4	中文	zhōng wén	zhong1 wen2	Chinese [written language]
4	丰富	fēng fù	feng1 fu4	enrich; abundant rich; plentiful
4	主动	zhǔ dòng	zhu3 dong4	take the initiative
4	主意	zhǔ yi	zhu3 yi5	idea
4	举办	jǔ bàn	ju3 ban4	hold; conduct; run [an event]
4	之	zhī	zhi1	[a more literary form of 的; showing possession]
4	乒乓球	pīng pāng qiú	ping1 pang1 qiu2	table tennis; ping-pong
4	乘坐	chéng zuò	cheng2 zuo4	to ride (in a vehicle)
4	也许	yě xǔ	ye3 xu3	perhaps
4	乱	luàn	luan4	chaotic
4	于是	yú shì	yu2 shi4	as a result
4	互相	hù xiāng	hu4 xiang1	each other
4	亚洲	Yà zhōu	ya4 zhou1	Asia
4	交	jiāo	jiao1	exchange to hand over; to accociate with
4	交流	jiāo liú	jiao1 liu2	exchange; communication
4	交通	jiāo tōng	jiao1 tong1	transport; traffic
4	京剧	jīng jù	jing1 ju4	Beijing opera
4	亮	liàng	liang4	bright; to shine
4	亲戚	qīn qi	qin1 qi5	relatives
4	人民币	rén mín bì	ren2 min2 bi4	Renminbi [Chinese currency]
4	亿	yì	yi4	100 million
4	仍然	réng rán	reng2 ran2	still
